№,shop,brand,model,length_cm,condition,orig_price,price,url
1,megasport,BURTON,YEASAYER NO COLOR,148,new,,1939.0,https://megasport.ge/products/burton-yeasayer-no-color
2,megasport,DYNASTAR-LANGE,E LITE 5 XP11DRNZ301,162,new,,1918.0,https://megasport.ge/products/dynastar-lange-e-lite-5-xp11drnz301
3,megasport,DYNASTAR-LANGE,LEGEND CARBON SAFETY,110,new,,250.0,https://megasport.ge/products/dynastar-lange-legend-carbon-safety
4,megasport,DYNASTAR-LANGE,LEMON GIRL KID4,110,new,,748.0,https://megasport.ge/products/dynastar-lange-lemon-girl-kid4
5,megasport,DYNASTAR-LANGE,M-CROSS 88 SPX12 MTXDR,176,new,,3029.0,https://megasport.ge/products/dynastar-lange-m-cross-88-spx12-mtxdr
6,megasport,DYNASTAR-LANGE,SPEED 4X4 563 K,171,new,,2057.0,https://megasport.ge/products/dynastar-lange-speed-4x4-563-k
7,megasport,DYNASTAR-LANGE,SPEED 4X4 563 TI K,167,new,,2347.0,https://megasport.ge/products/dynastar-lange-speed-4x4-563-ti-k
8,megasport,DYNASTAR-LANGE,SPEED 563 K,162,new,,2188.0,https://megasport.ge/products/dynastar-lange-speed-563-k
9,megasport,DYNASTAR-LANGE,SPEED CRS WC GS,175,new,,3550.0,https://megasport.ge/products/dynastar-lange-speed-crs-wc-gs
10,megasport,DYNASTAR-LANGE,SPEED GS-SG,130,new,,255.0,https://megasport.ge/products/dynastar-lange-speed-gs-sg
11,megasport,DYNASTAR-LANGE,SPEED SL SR DDMG,120,new,,280.0,https://megasport.ge/products/dynastar-lange-speed-sl-sr-ddmg
12,megasport,DYNASTAR-LANGE,SPEED WC FIS SL FAC 1,165,new,,3750.0,https://megasport.ge/products/dynastar-lange-speed-wc-fis-sl-fac-1
13,megasport,DYNASTAR-LANGE,TEAM COMP,130,new,,1197.0,https://megasport.ge/products/dynastar-lange-team-comp
14,megasport,DYNASTAR-LANGE,TEAM SPEED 100-130 KID4,100,new,,776.0,https://megasport.ge/products/dynastar-lange-team-speed-100-130-kid4
15,megasport,DYNASTAR-LANGE,VECTOR BLACK DDI,110,new,,117.0,https://megasport.ge/products/dynastar-lange-vector-black-ddi
16,megasport,DYNASTAR-LANGE,VECTOR TEAM DDI,100,new,,88.0,https://megasport.ge/products/dynastar-lange-vector-team-ddi
17,megasport,DYNASTAR-LANGE,VECTOR TEAM GIRL DDI,100,new,,88.0,https://megasport.ge/products/dynastar-lange-vector-team-girl-ddi
18,megasport,FISCHER,P12522-THE CURV PRO JRS,120,new,,950.0,https://megasport.ge/products/fischer-M5b
19,megasport,FISCHER,P12822-THE CURV PRO JRS,120,new,,950.0,https://megasport.ge/products/fischer-p12822-the-curv-pro-jrs-fs7-ca-jrs
20,megasport,FISCHER,THE CURV DTI AR + RS 11 PR,171,new,,2431.0,https://megasport.ge/products/fischer-the-curv-dti-ar-rs-11-pr
21,megasport,FISCHER,THE CURV GT 76 TPR,173,new,,2125.0,https://megasport.ge/products/fischer-the-curv-gt-76-tpr
22,megasport,FISCHER,THE CURV GT 85 MT,168,new,,2945.0,https://megasport.ge/products/fischer-the-curv-gt-85-mt
23,megasport,FISCHER,THE CURV JR (70-120) JRS,100,new,,638.0,https://megasport.ge/products/fischer-the-curv-jr-(70-120)-jrs
24,megasport,FISCHER,THE CURV TI TPR,171,new,,1976.0,https://megasport.ge/products/fischer-the-curv-ti-tpr
25,megasport,TECNICA-BLIZZARD,B.THUNDERBIRD R15WIDE BODY 01 TBD,174,new,,3895.0,https://megasport.ge/products/tecnica-blizzard-b.thunderbird-r15wide-body-01-tbd
26,megasport,TECNICA-BLIZZARD,B.THUNDERBIRD R18LTD 001 TBD,180,new,,3895.0,https://megasport.ge/products/tecnica-blizzard-b.thunderbird-r18ltd-001-tbd
27,megasport,TECNICA-BLIZZARD,COCHISE 106 FLAT ORANGE,185,new,,2550.0,https://megasport.ge/products/tecnica-blizzard-cochise-106-flat-orange
28,megasport,TECNICA-BLIZZARD,FIREBIRD JR 100-140 BLUE/ORANGE,100,new,,755.0,https://megasport.ge/products/tecnica-blizzard-firebird-jr-100-140-blue-orange
29,megasport,TECNICA-BLIZZARD,FIREBIRD WRC 001 TBD,170,new,,3738.0,https://megasport.ge/products/tecnica-blizzard-firebird-wrc-001-tbd
